,TXN_CCY,OPER_DPST_FLAG,LV_DMC_CTRY,FRS_ACCOUNT_CLASS,ACCT_TYP,ACTG_UNIT_NM,ROW_SRC_IND
27,5,1,12,3,1,12,3
28,5,1,12,0,0,19,3
29,5,1,12,0,0,19,3
81,25,1,23,0,0,19,3
109,33,1,12,0,0,19,3
136,4,1,12,3,1,12,3
147,1,1,23,3,1,12,3
177,3,1,23,0,0,19,3
199,31,1,12,3,1,12,3
200,21,1,12,3,1,12,3
236,12,1,23,3,1,12,3
237,15,1,23,3,1,12,3
238,18,1,23,3,1,12,3
298,23,1,28,2,3,1,1
299,23,1,28,2,3,0,1
323,29,1,12,3,1,12,3
344,10,1,9,3,1,12,3
443,24,1,12,3,1,12,3
444,24,1,12,0,0,19,3
457,15,1,23,3,1,12,3
460,1,1,12,3,1,12,3
